strategy,dynamic_updates,dynamic_threshold,lora_r,lora_alpha,target_modules,maj_mean,maj_std,time_mean,n
dynamic_grad_norm,6,10,16,32,"[""q_proj"", ""v_proj""]",0.7834217841799344,0.008177250284237292,1531.914971113205,3
dynamic_grad_norm,10,10,16,32,"[""q_proj"", ""v_proj""]",0.7798407884761183,0.019318329408167266,1345.627092242241,4
dynamic_grad_norm,6,25,16,32,"[""q_proj"", ""v_proj""]",0.7758402830427092,0.011802167731954099,1539.0987707773845,3
dynamic_grad_norm,10,10,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",0.7745766995198382,0.01682227873706609,1625.5024129549663,3
dynamic_grad_norm,10,25,16,32,"[""q_proj"", ""v_proj""]",0.7723022491786707,0.007044407310976214,1534.9733498891194,3
lora,10,10,16,32,"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",0.7581501137225171,0.009649675558269748,2253.4228386878967,2
lora,10,10,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",0.7445034116755117,0.004288744692564349,1787.7559558153152,2
lora,10,25,64,128,"[""q_proj"", ""v_proj""]",0.7417235279251958,0.004632373712363735,1587.7949500878651,3
dynamic_grad_norm,10,10,16,32,"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",0.7410917361637605,0.015546699510545747,2040.8804758787153,2
full_ft,10,10,16,32,"[""q_proj"", ""v_proj""]",0.7408007960576194,0.010064873879895563,1764.1067819595337,4
lora,10,25,32,64,"[""q_proj"", ""v_proj""]",0.7366691938337123,0.0065365262352173195,1580.4509196281433,3
topk_deep_block,10,10,16,32,"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",0.7280768258781904,0.00831664527263299,1674.2906964619954,3
lora,10,10,16,32,"[""q_proj"", ""v_proj""]",0.7266058567096285,0.0048713640873303075,1387.1773681044579,4
lora,10,25,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",0.7194844579226687,,1787.7517278194427,1
topk_full,10,10,16,32,"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",0.6153651756381097,0.011580934280909339,1571.7864776452382,3
